,word,count,w_s_sum
0,雨伞,2423,1938419
1,折叠,2401,2046644
2,太阳伞,2200,1277127
3,两用,2187,2152480
4,防晒,2179,1343425
5,伞,2051,745909
6,紫外线,1985,1164554
7,防,1811,1151396
8,晴雨伞,1796,565235
9,遮阳伞,1730,922714
10,黑胶,1541,541366
11,女,1341,698041
12,晴雨,1260,1331710
13,天堂伞,1147,595253
14,小,1075,741603
15,清新,928,598930
16,创意,767,314685
17,长柄,677,206837
18,三,662,231307
19,男女,652,1091547
20,双人,598,1104459
21,超轻,595,307487
22,全自动,594,1044333
23,商务,572,107756
24,遮阳,566,288453
25,学生,540,888227
26,加固,538,995412
27, ,526,101574
28,折伞,521,152386
29,广告伞,520,108954
30,定制,513,206801
31,三折,502,865306
32,韩国,419,422017
33,号,381,1144977
34,迷你,376,153662
35,加大,347,421476
36,折叠伞,334,118718
37,男,320,166907
38,防风,319,721975
39,男士,306,116618
40,大,289,461292
41,logo,284,59919
42,超大,254,656116
43,自动,251,139918
44,儿童,249,89925
45,女士,246,25730
46,礼品,243,43210
47,简约,239,90842
48,女神,238,401415
49,五折,226,91332
50,口袋,216,73996
51,印,212,31544
52,双层,212,68235
53,五,210,92166
54,女晴雨,194,340125
55,卡通,189,21621
56,定做,187,21402
57,印字,183,18752
58,个性,171,154956
59,公主,169,52900
60,小黑,165,21412
61,LOGO,165,16721
62,蕾丝,149,15569
63,可爱,147,27606
64,复古,145,24639
65,骨,144,91297
66,纯色,137,14275
67,印刷,133,21331
68,格子,128,30824
69,抗风,127,96755
70,轻便,114,44959
71,直杆,114,13179
72,伞女,113,55596
73,新款,105,22192
74,自动伞,105,25685
75,森系,101,25307
76,宝宝,100,67421
77,天堂,100,11569
78,三人,97,106079
79,便携,97,18802
80,小学生,96,40395
81,直柄,96,44797
82,遮,86,73002
83,透明,86,39488
84,潮流,84,160645
85,红叶,83,28831
86,正品,79,41395
87,韩版,78,4891
88,批发,77,19226
89,半自动,75,12564
90,伞晴雨,73,13544
91,反向,72,49422
92,彩虹,71,11399
93,十骨,71,16080
94,铅笔,68,8184
95,幼儿园,67,58243
96,小孩,67,59727
97,柄,67,6628
98,太阳,66,13836
99,广告,66,17139
100,开收,64,623426
101,小巧,63,11323
102,伞防,63,8184
103,大号,62,734135
104,高尔夫,59,3561
105,式,58,44133
106,印花,58,1048
107,旗舰店,57,95613
108,Cmon,56,22637
109,拒水,56,18325
110,钢骨,55,1917
111,弯,55,3723
112,时尚,55,16153
113,黑色,55,54807
114,包邮,54,8133
115,16,53,5047
116,新品,53,3719
117,女小,52,21627
118,ins,52,19782
119,文艺,51,13746
120,沛欣,51,1532
121,条纹,51,5437
122,免持,51,42511
123,-,50,16035
124,人大,49,39076
125,女童,49,10099
126,加厚,49,9385
127,洋伞,48,15104
128,&,48,37949
129,轻巧,47,36092
130,樱花,47,4526
131,10,47,20336
132,花边,47,1210
133,户外,46,13405
134,可,46,20765
135,24,41,30107
136,定,41,18696
137,upf50,41,25759
138,双,41,12689
139,汽车,41,34753
140,轻,41,4878
141,制定,41,18854
142,羚羊,40,4479
143,美度,40,545
144,+,40,65830
145,早安,40,4479
146,情侣,40,9940
147,新娘,40,6009
148,伞面,39,11457
149,女防,39,3968
150,结婚,38,6108
151,家用,37,84912
152,女三,37,24162
153,超强,37,10880
154,车用,37,24002
155,银胶,36,26849
156,官网,36,69845
157,拱形,36,755
158,英伦,36,6595
159,做,36,7548
160,成人,36,3542
161,图案,35,2009
162,胶囊,35,35774
163,女孩,35,3334
164,车载,34,21607
165,遇水,34,4593
166,风,34,3098
167,2018,33,1156
168,雨,32,2741
169,婚庆,32,5606
170,变色,32,3194
171,刺绣,32,1191
172,遮光,31,1794
173,TIME,31,37768
174,可折叠,31,86376
175,防雨,31,2258
176,LOVER,31,37768
177,用,30,3653
178,罩,30,105422
179,订做,29,1607
180,甩干,29,25038
181,少女,29,3792
182,餐桌,29,85466
183,开花,28,3722
184,款,28,1311
185,花,28,1888
186,饭菜,28,84995
187,抗,28,27590
188,食物,27,85086
189,红色,27,4721
190,自开,27,25382
191,百盛,27,363
192,订制,27,7884
193,Qiutong,27,2843
194,夏天,27,201
195,女生,26,409
196,边,26,1438
197,专卖,26,381
198,德国,25,14450
199,绣花,25,919
200,专业,25,1193
201,日本,25,1958
202,伞大,25,1522
203,字,24,5211
204,油画,24,1001
205,太阳城,24,2013
206,大伞,24,9804
207,雨景,23,3496
208,轻小,23,1009
209,12,23,45674
210,菲诺,23,2371
211,动漫,22,4917
212,夏季,22,526
213,素色,22,564
214,防水,22,14560
215,日系,22,1124
216,格,21,434
217,5,21,1536
218,经典,21,2975
219,火烈鸟,21,1892
220,风暴,21,24650
221,全,20,1974
222,511,20,14442
223,可印,20,1838
224,自收,20,1552
225,雨燕,20,505
226,碎花,19,457
227,小五,19,1747
228,2,19,5514
229,丰登,19,1797
230,/,19,3888
231,C,19,193
232,名佳宜,18,442
233,反骨,18,30524
234,男童,18,10207
235,苍蝇,18,56484
236,安全,18,2546
237,木柄,18,7287
238,手动,18,1051
239,R,17,181
240,收纳,17,8736
241,单人,17,625
242,长方形,17,69814
243,彩胶,17,629
244,】,17,3445
245,强力,17,4980
246,环保,17,2571
247,遮太阳,16,3443
248,伞大号,16,37573
249,盖菜,16,75295
250,菜,16,41517
251,蘑菇,16,394
